,original,just tokenization,stemming,lemmatization,stemming(snow) + misspellings,lemmatization + misspellings,stemming(lanc) + misspellings
798,"Used up a month's worth at Laugharne Weekend sad  (no wi-fi in small Carmarthenshire towns, let alone for free!)",used up a month worth at laugharne weekend sad no wi fi in small carmarthenshire towns let alone for free,use up a month worth at laugharn weekend sad no wi fi in small carmarthenshir town let alon for free,used up a month worth at laugharne weekend sad no wi fi in small carmarthenshire town let alone for free,use up a month worth at laughabl weekend sad no i i in small town let alon for free,used up a month worth at laughable weekend sad no i i in small town let alone for free,us up a mon wor at laugh weekend sad no i i in smal town let alon for fre
799,Today is 4-20 which is Hitler's birthday unhappy  ,today is which is hitler birthday unhappy,today is which is hitler birthday unhappi,today is which is hitler birthday unhappy,today is which is hitter birthday unhappi,today is which is hitter birthday unhappy,today is which is hit birthday unhappy
801,Youngjae looked so sad in the video unhappy ,youngjae looked so sad in the video unhappy,youngja look so sad in the video unhappi,youngjae looked so sad in the video unhappy,look so sad in the video unhappi,looked so sad in the video unhappy,look so sad in the video unhappy
802,babies unhappy  ,babies unhappy,babi unhappi,baby unhappy,babi unhappi,baby unhappy,baby unhappy
803,I'll check that out... I was excited about the backup singers but they were way too backup unhappy ,i will check that out i was excited about the backup singers but they were way too backup unhappy,i will check that out i was excit about the backup singer but they were way too backup unhappi,i will check that out i wa excited about the backup singer but they were way too backup unhappy,i will check that out i was excit about the backup singer but they were way too backup unhappi,i will check that out i wa excited about the backup singer but they were way too backup unhappy,i wil check that out i was excit about the backup sing but they wer way too backup unhappy
804,First round exit in 15 minutes followed by 45 of tech crying unhappy  ,first round exit in minutes followed by of tech crying unhappy,first round exit in minut follow by of tech cri unhappi,first round exit in minute followed by of tech cry unhappy,first round exit in minut follow by of teach cri unhappi,first round exit in minute followed by of teach cry unhappy,first round exit in minut follow by of teach cry unhappy
806,"resolve is sooo slow on my laptop, i don't think i'll be ever to edit long videos here unhappy  i'll go try another editing software ",resolve is sooo slow on my laptop i do not think i will be ever to edit long videos here unhappy i will go try another editing software,resolv is sooo slow on my laptop i do not think i will be ever to edit long video here unhappi i will go tri anoth edit softwar,resolve is sooo slow on my laptop i do not think i will be ever to edit long video here unhappy i will go try another editing software,resolv is soon slow on my laptop i do not think i will be ever to edit long video here unhappi i will go tri anoth edit softwar,resolve is soon slow on my laptop i do not think i will be ever to edit long video here unhappy i will go try another editing software,resolv is soon slow on my laptop i do not think i wil be ev to edit long video her unhappy i wil go try anoth edit softw
807,I hate throwing up  unhappy ,i hate throwing up unhappy,i hate throw up unhappi,i hate throwing up unhappy,i hate throw up unhappi,i hate throwing up unhappy,i hat throwing up unhappy
808,"As Nani in lies unconscious, never mind Khushi, I know I'm not ready to say goodbye unhappy  So, w",as nani in lies unconscious never mind khushi i know i am not ready to say goodbye unhappy so w,as nani in lie unconsci never mind khushi i know i am not readi to say goodby unhappi so w,a nani in lie unconscious never mind khushi i know i am not ready to say goodbye unhappy so w,as ani in lie unconsci never mind sushi i know i am not readi to say goodby unhappi so w,a ani in lie unconscious never mind sushi i know i am not ready to say goodbye unhappy so w,as an in lie unconscy nev mind sush i know i am not ready to say goodby unhappy so w
809,:^) hello ,happy face smiley hello,happi face smiley hello,happy face smiley hello,happi face smiley hello,happy face smiley hello,happy fac smiley hello
810,"He's not beating the two favourites here anyway so I'll stop caring about this match, sob. unhappy ",he is not beating the two favourites here anyway so i will stop caring about this match sob unhappy,he is not beat the two favourit here anyway so i will stop care about this match sob unhappi,he is not beating the two favourite here anyway so i will stop caring about this match sob unhappy,he is not beat the two favorit here anyway so i will stop care about this match sob unhappi,he is not beating the two favorite here anyway so i will stop caring about this match sob unhappy,he is not beat the two favorit her anyway so i wil stop car about thi match sob unhappy
811,I feel like the 'only environments disable people' argument actually excludes many disabled people ,i feel like the environments disable people argument actually excludes many disabled people,i feel like the environ disabl peopl argument actual exclud mani disabl peopl,i feel like the environment disable people argument actually excludes many disabled people,i feel like the environ disabl peopl argument actual exclud mani disabl peopl,i feel like the environment disable people argument actually excludes many disabled people,i feel lik the environ dis peopl argu act exclud many dis peopl
813,Baaaper unhappy  ,baaaper unhappy,baaaper unhappi,baaaper unhappy,hanap unhappi,hanaper unhappy,hanap unhappy
816,"So, last night I had a dream in which I moved to Japan and just so happened to see you! You denied my friendlies request. unhappy ",so last night i had a dream in which i moved to japan and just so happened to see you you denied my friendlies request unhappy,so last night i had a dream in which i move to japan and just so happen to see you you deni my friend request unhappi,so last night i had a dream in which i moved to japan and just so happened to see you you denied my friendly request unhappy,so last night i had a dream in which i move to japan and just so happen to see you you deni my friend request unhappi,so last night i had a dream in which i moved to japan and just so happened to see you you denied my friendly request unhappy,so last night i had a dream in which i mov to jap and just so hap to see you you deny my friend request unhappy
818,Oh no unhappy  what are you like?!  Is it still in shops?,oh no unhappy what are you like is it still in shops,oh no unhappi what are you like is it still in shop,oh no unhappy what are you like is it still in shop,oh no unhappi what are you like is it still in shop,oh no unhappy what are you like is it still in shop,oh no unhappy what ar you lik is it stil in shop
